human_time,epoch_time,web_cpu,mongo-db_cpu,nginx_cpu,mosquitto_cpu,web_ram,mongo-db_ram,nginx_ram,mosquitto_ram,host_cpu,host_ram
55:28.4,1682286928,192.04,16.24,0.83,0.35,0.55,0.55,0.0031,0.0013,97.2,1.5
56:46.0,1682287006,58.24,2.03,0.22,0.28,0.62,0.55,0.0031,0.0013,88.8,1.5
58:03.6,1682287083,65.62,2.02,0.75,0.12,0.55,0.55,0.0031,0.0013,84.2,1.4
59:21.2,1682287161,128.54,1.77,0.58,0.09,0.6,0.55,0.0031,0.0013,90.8,1.5
00:38.6,1682287238,23.13,2.17,0.53,0.12,0.6,0.55,0.0031,0.0013,94.4,1.4
01:56.3,1682287316,172.17,2.73,0.05,0.1,0.55,0.55,0.0031,0.0013,88.7,1.5
03:13.9,1682287393,60.64,2.28,0.67,0.14,0.6,0.55,0.0031,0.0013,91.9,1.5
04:31.4,1682287471,25.48,2.15,0.57,0.14,0.54,0.55,0.0031,0.0013,95.7,1.4
05:48.9,1682287548,75.7,2.13,0.15,0.2,0.6,0.55,0.0031,0.0013,95.8,1.5
07:06.4,1682287626,90.56,2.1,0.14,0.3,0.6,0.55,0.0031,0.0013,97.2,1.5
08:24.0,1682287704,158.63,2.08,0.86,0.09,0.56,0.55,0.0031,0.0013,81.5,1.4
09:41.6,1682287781,44.99,2.13,0.58,0.1,0.61,0.55,0.0031,0.0013,90.9,1.5
10:59.0,1682287859,47.13,2.16,0.04,0.11,0.54,0.55,0.0032,0.0013,94.4,1.4
12:16.5,1682287936,62.32,1.92,0.46,0.09,0.6,0.55,0.0031,0.0013,97.2,1.5
13:34.0,1682288014,53.99,1.82,0.58,0.09,0.6,0.55,0.0031,0.0013,93.3,1.5
14:51.7,1682288091,127,2.35,0.64,0.09,0.55,0.55,0.0032,0.0013,91.4,1.4
16:09.2,1682288169,158.94,6.04,0.18,0.17,0.61,0.55,0.0031,0.0013,95.8,1.5
17:26.7,1682288246,62.66,2.6,0.68,0.18,0.54,0.55,0.0031,0.0013,97.1,1.4
18:44.2,1682288324,26.36,1.62,0.69,0.1,0.6,0.55,0.0032,0.0013,94.4,1.5
20:01.7,1682288401,26.5,2.79,0.55,0.08,0.6,0.55,0.0032,0.0013,91.7,1.5
21:19.4,1682288479,153.51,2.12,0.71,0.12,0.55,0.55,0.0031,0.0013,94.6,1.4
22:36.9,1682288556,59.75,1.9,0.66,0.16,0.61,0.55,0.0031,0.0013,93.1,1.5
23:54.4,1682288634,61.88,2.24,0.14,0.1,0.54,0.55,0.0031,0.0013,98.6,1.4
25:11.9,1682288711,62.23,1.97,0.19,0.12,0.6,0.55,0.0031,0.0013,93.2,1.5
26:29.5,1682288789,54.92,2.76,0.58,0.29,0.6,0.55,0.0031,0.0013,95.7,1.5
27:47.1,1682288867,148.21,3.22,0.75,0.36,0.56,0.55,0.0032,0.0013,89.1,1.4
29:04.7,1682288944,59.93,1.94,0.04,0.27,0.61,0.55,0.0031,0.0013,95.9,1.5
30:22.1,1682289022,60.08,2.45,0.6,0.13,0.54,0.55,0.0031,0.0013,95.8,1.4
31:39.6,1682289099,55.09,3.2,0.7,0.11,0.61,0.55,0.0032,0.0013,97.2,1.5
32:57.1,1682289177,134.69,2.19,0.41,0.1,0.6,0.55,0.0031,0.0013,93.2,1.5
34:14.7,1682289254,160.57,2.13,0.24,0.09,0.55,0.55,0.0031,0.0013,94.4,1.4
35:32.2,1682289332,26.84,2.16,0.72,0.1,0.61,0.55,0.0031,0.0013,92,1.5
36:49.7,1682289409,32.6,2.82,0.85,0.19,0.54,0.55,0.0031,0.0013,98.6,1.4
38:07.2,1682289487,57.95,2.1,0.72,0.09,0.6,0.55,0.0032,0.0013,94.5,1.5
39:24.7,1682289564,158.11,3.62,0.63,0.16,0.6,0.55,0.0031,0.0013,97.2,1.5
40:42.3,1682289642,159.31,2.56,0.22,0.1,0.55,0.55,0.0031,0.0013,95.9,1.4
41:59.8,1682289719,63.37,2.99,0.6,0.15,0.59,0.55,0.0032,0.0013,94.5,1.5
43:17.3,1682289797,60.79,2.22,0.54,0.1,0.54,0.55,0.0031,0.0013,93,1.4
44:34.7,1682289874,61.12,3.3,0.14,0.08,0.61,0.55,0.0031,0.0013,94.4,1.5
45:52.4,1682289952,171.91,2.64,1.62,0.39,0.6,0.551,0.0031,0.0013,100,1.5
47:10.0,1682290029,60.64,2.98,0.75,0.27,0.55,0.551,0.0031,0.0013,93.1,1.4
48:27.5,1682290107,52.78,2.19,0.54,0.09,0.6,0.551,0.0031,0.0013,88,1.5
49:45.0,1682290184,23.06,3.47,0.65,0.09,0.54,0.551,0.0031,0.0013,98.6,1.4
51:02.5,1682290262,58.64,15.89,0.05,0.1,0.61,0.551,0.0031,0.0013,95.9,1.5
52:20.1,1682290340,131.79,3.09,0.71,0.17,0.59,0.551,0.0031,0.0013,92.1,1.5
53:37.6,1682290417,38.16,1.96,0.53,0.11,0.55,0.551,0.0031,0.0013,85.9,1.4
54:55.1,1682290495,61.63,2.15,0.25,0.1,0.61,0.551,0.0031,0.0013,88.1,1.4
56:12.6,1682290572,71.05,1.99,0.04,0.22,0.54,0.551,0.0031,0.0013,91.5,1.4
57:30.2,1682290650,59.46,3.21,0.58,0.13,0.6,0.551,0.0031,0.0013,92,1.5
58:47.8,1682290727,126.9,2.04,0.72,0.17,0.61,0.551,0.0031,0.0013,90.3,1.5
00:05.3,1682290805,188.36,6.93,0.44,0.08,0.55,0.551,0.0031,0.0013,88.9,1.4
01:22.8,1682290882,63.11,2.11,0.18,0.13,0.59,0.551,0.0031,0.0013,93.3,1.5
02:40.2,1682290960,62.61,1.78,0.62,0.16,0.54,0.551,0.0031,0.0013,95.8,1.4
03:57.7,1682291037,41.2,2.24,0.57,0.1,0.57,0.551,0.0031,0.0013,94.8,1.5
